AI/Name/28880A46=Zerg P04 - Green
AI/Name/850099F6=Zerg P02 - Red
Light/Name/EditorTestLight=Default
Sound/Name/ColossusLower=Colossus Lower
Sound/Name/ColossusReady=Colossus Ready
Sound/Name/ColossusRise=Colossus Rise
Sound/Name/FinalLockDeactivate=Final Lock Deactivate
Sound/Name/IntroMusic=Intro Music
Sound/Name/MegalithActivate=Megalith Activate
Sound/Name/MidMusic=Mid Music
Sound/Name/VictoryMusic=Victory Music
Soundtrack/Name/IntroMusic=Intro Music
Soundtrack/Name/MidMusic=Mid Music
Soundtrack/Name/VictoryMusic=Victory Music
Unit/EditorSuffix/PrimalUltralisk=(Primal Strain)
