Button/Hotkey/AdvancedWeaponryHellbat= /// 
Button/Hotkey/AdvancedWeaponryHellbat_NRS=I /// I
Button/Hotkey/AdvancedWeaponryHellbat_SC1=I /// I
Button/Hotkey/AdvancedWeaponryHellbat_USD=I /// I
Button/Hotkey/AdvancedWeaponryHellbat_USDL=I /// I
Button/Hotkey/AttackBarrage=G /// G
Button/Hotkey/AttackBarrage_NRS=G /// G
Button/Hotkey/AttackBarrage_SC1=G /// G
Button/Hotkey/AttackBarrage_USD=G /// G
Button/Hotkey/AttackBarrage_USDL=G /// G
Button/Hotkey/BansheeBombingRun=B /// B
Button/Hotkey/BansheeBombingRun_NRS=B /// B
Button/Hotkey/BansheeBombingRun_SC1=B /// B
Button/Hotkey/BansheeBombingRun_USD=B /// B
Button/Hotkey/BansheeBombingRun_USDL=B /// B
Button/Hotkey/BioMechanicalHeal=E /// E
Button/Hotkey/BioMechanicalHeal_NRS=E /// E
Button/Hotkey/BioMechanicalHeal_SC1=E /// E
Button/Hotkey/BioMechanicalHeal_USD=E /// E
Button/Hotkey/BioMechanicalHeal_USDL=E /// E
Button/Hotkey/BuildHealingDrone=D /// D
Button/Hotkey/BuildHealingDrone_NRS=D /// D
Button/Hotkey/BuildHealingDrone_SC1=D /// D
Button/Hotkey/BuildHealingDrone_USD=D /// D
Button/Hotkey/BuildHealingDrone_USDL=D /// D
Button/Hotkey/BuildRailGunTurret=T /// T
Button/Hotkey/BuildRailGunTurret_NRS=T /// T
Button/Hotkey/BuildRailGunTurret_SC1=T /// T
Button/Hotkey/BuildRailGunTurret_USD=T /// T
Button/Hotkey/BuildRailGunTurret_USDL=T /// T
Button/Hotkey/ClassicQueen=C /// C
Button/Hotkey/ClassicQueen_NRS=O /// O
Button/Hotkey/ClassicQueen_SC1=C /// C
Button/Hotkey/ClassicQueen_USD=C /// C
Button/Hotkey/ClassicQueen_USDL=O /// O
Button/Hotkey/CloakOnBattlecruiser=C /// C
Button/Hotkey/CloakOnBattlecruiser_NRS=C /// C
Button/Hotkey/CloakOnBattlecruiser_SC1=C /// C
Button/Hotkey/CloakOnBattlecruiser_USD=C /// C
Button/Hotkey/CloakOnBattlecruiser_USDL=C /// C
Button/Hotkey/CloakOnLiberator=C /// C
Button/Hotkey/CloakOnLiberator_NRS=C /// C
Button/Hotkey/CloakOnLiberator_SC1=C /// C
Button/Hotkey/CloakOnLiberator_USD=C /// C
Button/Hotkey/CloakOnLiberator_USDL=C /// C
Button/Hotkey/CloakOnNova=C /// C
Button/Hotkey/CloakOnNova_NRS=C /// C
Button/Hotkey/CloakOnNova_SC1=C /// C
Button/Hotkey/CloakOnNova_USD=C /// C
Button/Hotkey/CloakOnNova_USDL=C /// C
Button/Hotkey/CloakOnReaper=C /// C
Button/Hotkey/DOMEMP=E /// E
Button/Hotkey/DOMEMP_NRS=E /// E
Button/Hotkey/DOMEMP_SC1=E /// E
Button/Hotkey/DOMEMP_USD=E /// E
Button/Hotkey/DOMEMP_USDL=E /// E
Button/Hotkey/DOMGhostDetectorConeEnter=A /// A
Button/Hotkey/DOMGhostDetectorConeEnter_NRS=A /// A
Button/Hotkey/DOMGhostDetectorConeEnter_SC1=A /// A
Button/Hotkey/DOMGhostDetectorConeEnter_USD=A /// A
Button/Hotkey/DOMGhostDetectorConeEnter_USDL=A /// A
Button/Hotkey/DOMGhostDetectorConeExit=B /// B
Button/Hotkey/DOMGhostDetectorConeExit_NRS=B /// B
Button/Hotkey/DOMGhostDetectorConeExit_SC1=B /// B
Button/Hotkey/DOMGhostDetectorConeExit_USD=B /// B
Button/Hotkey/DOMGhostDetectorConeExit_USDL=B /// B
Button/Hotkey/DOMGhostPersonalDefensiveMatrix=W /// W
Button/Hotkey/DOMGhostPersonalDefensiveMatrix_NRS=W /// W
Button/Hotkey/DOMGhostPersonalDefensiveMatrix_SC1=W /// W
Button/Hotkey/DOMGhostPersonalDefensiveMatrix_USD=W /// W
Button/Hotkey/DOMGhostPersonalDefensiveMatrix_USDL=W /// W
Button/Hotkey/DOMSnipe=R /// R
Button/Hotkey/DOMSnipe_NRS=R /// R
Button/Hotkey/DOMSnipe_SC1=R /// R
Button/Hotkey/DOMSnipe_USD=R /// R
Button/Hotkey/DOMSnipe_USDL=R /// R
Button/Hotkey/DeploySpiderMines=R /// R
Button/Hotkey/DeploySpiderMinesRaven=E /// E
Button/Hotkey/DeploySpiderMines_NRS=R /// R
Button/Hotkey/DeploySpiderMines_SC1=R /// R
Button/Hotkey/DeploySpiderMines_USD=R /// R
Button/Hotkey/DeploySpiderMines_USDL=R /// R
Button/Hotkey/GhostVultureLayMine=L /// L
Button/Hotkey/GhostVultureLayMine_NRS=L /// L
Button/Hotkey/GhostVultureLayMine_SC1=L /// L
Button/Hotkey/GhostVultureLayMine_USD=L /// L
Button/Hotkey/GhostVultureLayMine_USDL=L /// L
